Pinyin,Wade-Giles,Romatzyh,Palladiy
йиангxуейин,чиангхсуехчин,йеангшыуейин,цзян цзо
йианг,чианг,йианк,цзян
йиангди,чиангти,йианкди,цзян цзинь
йиангйиа,чиангчиа,йианкйиах,цзян цзинь сюэ
йианглуо,чиангло,йианклуох,цзян
йиангуоен,чиангуоен,йианкуен,ди цзян
йиаохуан,чиаохуан,йиаухуанн,цзя цзян
йиаойи,чиаочи,йиауйих,цзян ло
йиаошоу,чиаошоу,йиауошоуо,цзян вэнь
йиедуан,чиехтуан,йиедуанн,хуань цзяо
йиедао,чиехтао,йиедауо,цзи цзяо
йиешенг,чиехшенг,йыешеенг,цзяо шоу
йие,чиех,йые,дуань цзе
йиегоу,чиехкоу,йыегоуо,дао цзе
йиелун,чиехлун,йыелуенн,цзе шэн
йиемеи,чиехмеи,йиеемеы,цзе
йиеши,чиехших,йиеешых,гоу цзе
йинкуаи,чинкуаи,йиинкуаы,цзе лунь
йинми,чинми,йиинмих,цзе мэй
йинли,чинли,йиннлих,цзе ши
йинкоу,чинкоу,йиннкооу,цзинь куай
йиндаи,чинтаи,йинндаы,цзинь ми
йинжи,чинчих,йиннйыы,цзинь ли
йингдиан,чингтиен,йингдеан,цзинь коу
йингли,чингли,йинглих,дай цзинь
йингран,чингян,йинкран,цзинь чжи
йингтоу,чингтоу,йинктоур,дянь цзин
йингзи,чингзи,йинкзи,цзин ли
йиуйинг,чиучинг,йиоуйинк,цзин жань
йиуба,чиупа,йеоуба,цзин тоу
юмин,чумин,йиумин,цзин цзы
южу,чучу,йиуюх,цзин цзю
ю,чу,йыу,ба цзю
юда,чута,йиухдах,цзюй минь
юбеи,чупеи,йиухбеы,цзюй чжу
юли,чули,йиухли,цзюй
ю,чу,йиух,да цзюй
юхуи,чухуи,йиуххуеы,бэй цзюй
юан,чуан,йеуан,цзюй ли
юесе,чуехсе,йыуесех,цзюй
каихуа,каихуа,каихуа,хуэй (хой) цзюй
каишуи,каишуи,каишоеи,цзюань
канбуки,канбучи,каннбучии,цзяо сэ
кануоанг,кануоанг,каннуоанк,хуа кай
каоча,каоча,каочар,кай шуй
ке,ко,ке,бу кань ци
кейиан,кочиен,кеейианн,кань ван
конгйиан,кунгчиен,конгйиан,ча као
конг,кунг,конг,кэ
коудаи,коутаи,кооудаы,цзянь кэ
коуыу,коуыу,кооуыеу,цзянь кун
ку,ку,куу,кун
куаийи,куаичи,куаыйих,дай коу
куаиди,куаити,куаыдих,коу юй
куан,куан,куан,ку
куангуанг,куанкуанг,куангоанг,хуэй (хой) цзи
куангкуаншуи,куангчуаншуи,куанкчыуаншоеи,ди куай
куода,куота,куохдах,куань
куожан,куочан,куохяан,гуан куань
куохао,куохао,куоххауо,куан цюань шуй
лайи,лачи,лхайи,да ко
лакаи,лакаи,лхакаи,ко чжань
ла,ла,лах,хао ко
лаибуйи,лаибучи,лаибуйыи,цзи ла
лаидейи,лаидечи,лаидейыи,кай ла
лаиыуан,лаиыуан,лаиыуан,ла
лаогонг,лаокунг,лаогонг,бу цзи лай
лаойиа,лаочиа,лаойиа,дэ цзи лай
лаопо,лаопо,лаопор,лай юань
лаоши,лаоши,лаоши,гун лао
леку,лечу,лехчиух,цзя лао
леи,леи,леы,лао по
леишуи,леишуи,леышоеи,лао ши
леиxинг,леихсинг,леышынг,лэ цюй
ленгйинг,ленгчинг,леенгйинк,лэй
лими,лими,лимии,лэй шуй
лики,лики,лихки,лэй син
лиши,лиших,лихшыы,цзин лэн
лийи,личи,лихйыи,ли ми
лиxи,лихси,лихши,ли ци
лиыи,лии,лихыих,ли ши
лиа,лиа,леа,цзи ли
лиангхао,лиангхао,лиангхао,ли си
лианг,лианг,лианг,ли и
лиангши,лиангши,лиангши,ля
лиаоыанг,лиаоыанг,лиауыеанг,хао лян
лиаобуки,лиаобучи,леаубучии,лян
лиаойие,лиаочиех,леауйиее,лян ши
лие,лиех,лиех,ляо ян
лиече,лиехче,лиехче,бу лэ ци
лиеру,лиехю,лиехрух,цзе лэ
лиеуоеи,лиехуоеи,лиехуоеи,ле
линши,линших,линшыр,чэ ле
лингши,лингших,лингшыр,ле жу
лиучуан,лиучуан,лиоучуоан,ле вэй
лоути,лоути,лоути,линь ши
луди,лути,лухдих,лин ши
луxу,лухсу,лухшиух,чуань лю
луку,лучу,лухчеу,лоу ти
лун,лун,луен,ди лу
лунчуан,лунчуан,луенчуоан,лу сюй
луныи,луни,луеныии,лу цюй
лунзи,лунзи,луензи,лунь
лунуоен,лунуоен,луеннуоен,чуань лунь
маойин,маочин,мауйин,лунь и
маоыи,маои,мауи,лунь цзы
маози,маози,мауози,лунь вэнь
меицуо,меицо,меицуох,цзинь мао
меиxиангдао,меихсиангтао,меишеангдауо,мао и
меийин,меичин,мееийин,мао цзы
менг,менг,менк,цо мэй
менгйиан,менгчиен,менкйианн,дао мэй сян
менгxианг,менгхсианг,менкшеанг,цзинь мэй
мими,мими,михмих,мэн
мишу,мишу,михшу,цзянь мэн
ми,ми,мих,мэн сян
мима,мима,михмаа,ми ми
микие,мичиех,михчиех,ми шу
мианфеи,миенфеи,меанфеы,ми
мианлин,миенлин,мианнлин,ма ми
мианши,миенших,мианншых,ми це
миаошу,миаошу,миаушух,фэй мянь
миаоxие,миаохсиех,миаушиее,линь мянь
мингпиан,мингпиен,мингпианн,мянь ши
мингрен,мингйен,мингрен,мяо шу
мо,мо,мхо,мяо се
мотер,мотер,мотехр,мин пянь
моxинг,мохсинг,мошынг,мин жэнь
мо,мо,мох,мо
момо,момо,мохмох,эр мо тэ
напа,напа,наапах,мо син
на,на,наа,мо
нанши,нанших,наншых,мо мо
нанмиан,нанмиен,нанмеан,на па
наодаи,наодаи,наодаи,на
нао,нао,науо,ши
наожонг,наочунг,науойонг,мянь
неибу,неипу,неыбух,дай нао
неике,неико,неыке,нао
ненгган,ненгкан,ненгганн,нао чжун
нингйинг,нингчинг,нингйинк,бу нэй
нонг,нунг,нонг,кэ нэй
нуанки,нуанчи,ноанчих,гань нэн
паижао,паичао,паияуо,цзин нин
паилие,паилиех,паирлиех,нун
паи,паи,паир,нуань ци
пан,пан,парн,пай чжао
панзи,панзи,парнзи,ле пай
пангзи,пангзи,панкзи,пай
пеиxун,пеихсун,пеиршиунн,пань
пеиxунбан,пеихсунпан,пеиршиуннбан,пань цзы
пеиыанг,пеиыанг,пеирыеанг,пан цзы
пеиыу,пеиыу,пеирыух,пэй сюнь
пи,пи,пи,бань пэй сюнь
пи,пи,пи,пэй ян
пианмиан,пиенмиен,пианнмианн,пэй юй
пинжи,пинчих,пиинйых,пи
пингфанг,пингфанг,пынгфанг,пи
пингйинг,пингчинг,пынгйинк,мянь пянь
пингюн,пингчун,пынгйиун,пинь чжи
пингуоен,пингуоен,пынгуооен,фан пин
покие,почиех,похчиех,цзин пин
почан,почан,похчаан,цзюнь пин
кидаи,читаи,чидаы,пин вэнь
кийиан,чичиен,чийиан,по це
кимо,чимо,чимох,чань по
киxиан,чихсиен,чишианн,дай ци
кижонг,чичунг,чийонг,цзянь ци
киыу,чиыу,чыиыу,мо ци
киые,чиыех,чииыех,ци сянь
кикиу,чичиу,чихчыоу,ци чжун
кишуи,чишуи,чихшоеи,ци юй
киыоу,чиыу,чихыоу,ци е
кигуан,чикуан,чихгуан,ци цю
киантоу,чиентоу,чыантоу,ци шуй
кианту,чиенту,чыантуоу,ци ю
киаокели,чиаоколи,чеаукехлих,гуань ци
кие,чиех,чие,цянь тоу
кин’аи,чинаи,чинаы,цянь ту
кинми,чинми,чинмих,кэ ли цяо
кингчун,чингчун,чингчуен,це
кингсонг,чингсунг,чингсонг,ай цинь
кингыи,чинги,чингыих,ми цинь
кингxинг,чингхсинг,чингшиинг,чунь цин
кингйинг,чингчинг,чынгйиинг,цин сун
кионг,чиунг,чыонг,цин и
кионгрен,чиунгйен,чыонгрен,цин син
киуйи,чиучи,чиоуйих,цзин цин
куши,чуших,чиушых,цюн
куанли,чуанли,чыуанлих,цюн жэнь
куе,чуех,чиуех,цзи цю
куерен,чуехйен,чиуехренн,цюй ши
ран’ер,янерх,ранерл,ли цюань
ранлиао,янлиао,ранлиауо,цюэ
раншао,яншао,раншау,цюэ жэнь
ренао,йенао,рехнао,эр жань
реxин,йехсин,рехшин,ляо жань
ренйиа,йенчиа,ренйиа,жань шао
рийи,йихчи,рыхйих,нао жэ
рили,йихли,рыхлих,жэ синь
руйин,ючин,руйин,цзя жэнь
руо,йо,руох,цзи жи
сан,сан,саан,ли жи
сан,сан,санн,цзинь жу
сао,сао,сао,жо
се,се,сех,сань
сецаи,сецаи,сехцае,сань
сенлин,сенлин,сенлин,сао
шаи,шаи,шаы,сэ
шан,шан,шаан,цай сэ
шандиан,шантиен,шаандианн,линь сэнь
шанлианг,шанлианг,шаннлианг,шай
шаныу,шаныу,шанныу,шань
шангхаи,шангхаи,шангхаы,дянь шань
шангуоу,шангуоу,шангуоух,лян шань
шанг,шанг,шаанг,шань юй
шанггеыуе,шангкоыуех,шанкгехыуех,хай шан
шанглоу,шанглоу,шанклоу,шан у
шангмен,шангмен,шанкмен,шан
шао,шао,шау,гэ шан юэ
шеши,шеших,шехшы,лоу шан
шежи,шечих,шехйых,мэнь шан
шенкинг,шенчинг,шенчиинг,шао
шенцаи,шенцаи,шенцаир,шэ ши
шенфен,шенфен,шенфенн,шэ чжи
шенгао,шенкао,шенгау,цин шэнь
шенхоу,шенхоу,шенхоуо,цай шэнь
шенхуа,шенхуа,шернхуах,фэнь шэнь
шенми,шенми,шернмих,гао шэнь
шенжи,шенчих,шеннйых,хоу шэнь
шибаи,шихпаи,шыбаы,хуа шэнь
шиуоанг,шихуоанг,шыуоанк,ми шэнь
шиые,шихыех,шыыех,шэнь чжи
ши,ших,шы,бай ши
ширен,шихйен,шырен,ши ван
ши,ших,шы,ши е
шиши,шихших,шыршы,ши
шиыонг,шихыунг,шырыонк,жэнь ши
шитанг,шихтанг,шыртарнг,ши
шийин,шихчин,шыыйинн,ши ши
шибинг,шихпинг,шыхбинг,ши юн
шику,шихчу,шыхчиу,ши тан
шиде,шихде,шыхде,цзин ши
шиуоу,шихуоу,шыхуоух,бин ши
шиxиан,шиххсиен,шыхшиан,цюй ши
шиюан,шихчуан,шыхйиуанн,дэ сы
шифоу,шихфоу,шыхфооу,ши у
шоухуи,шоухуи,шоухуоеи,ши сянь
шоухуо,шоухуо,шоухуох,цзюань ши
шоуыи,шоуи,шоуыих,фоу ши
шоугонг,шоукунг,шооугонг,хуэй (хой) шоу
шоули,шоули,шооулии,хо шоу
шоушу,шоушу,шооушух,шоу и
шоутао,шоутао,шооутауо,гун шоу
шоу,шоу,шооу,ли шоу
шоу,шоу,шооу,шоу чжу
шоухуоыуан,шоухуоыуан,шоуохуохыуан,шоу тао
шушу,шушу,шушу,шоу
шуши,шуших,шушых,шоу
шулиан,шулиен,шуоулианн,хо шоу юань
шуйиа,шучиа,шууйиах,шу шу
шулин,шулин,шухлин,ши шу
шуые,шуыех,шухыех,лянь шу
шую,шучу,шухйиух,цзя шу
шума,шума,шухмаа,линь шу
шуа,шуа,шуа,шу е
шуаыа,шуаыа,шуаыа,цзюй шу
шуази,шуази,шуази,ма шу
шуаи,шуаи,шуаы,шуа
шуаиге,шуаико,шуаыге,шуа я
шуаиxиан,шуаихсиен,шуаышиан,шуа цзы
шуижао,шуичао,шуеыяур,шуай
шунxу,шунхсу,шуенншиух,гэ шуай
шуобудинг,шуобутинг,шуобудинк,сянь
шуофу,шуофу,шуофуоу,шуй чжао
сикао,ссукао,сыкао,шунь сюй
сиху,ссуху,сыхху,бу дин шо
сонг,сунг,сонг,фу шо
сонгшу,сунгшу,сонгшух,као сы
сулиао,сулиао,сухлиауо,ху сы
сулиаодаи,сулиаотаи,сухлиауодаы,сун
суан,суан,суан,сун шу
суаннаи,суаннаи,суаннае,ляо су
суишоу,суишоу,суоеишооу,дай ляо су
суодуан,сотуан,суодоан,суань
суоxиао,сохсиао,суошеау,най суань
таийие,таичиех,таирйие,суй шоу
таишанг,таишанг,таиршанк,дуань со
танг,танг,таанг,со сяо
таоцан,таоцан,тауоцан,цзе тай
тейиа,течиа,техйиах,шан тай
тешу,тешу,техшу,тан
теженг,теченг,техйенг,цань тао
тигонг,тикунг,тыигонг,цзя тэ
тиxинг,тихсинг,тыишиинг,шу тэ
тицао,тицао,тиицау,тэ чжэн
тийиан,тичиен,тиийеан,гун ти
тижонг,тичунг,тиийонк,ти син
ти,ти,тих,цао ти
тидаи,титаи,тихдаы,цзянь ти
тианжен,тиенчен,тианйен,ти чжун
тиан,тиен,тыан,ти
тианконг,тиенкунг,тыанконк,дай ти
тиао,тиао,тиау,тянь чжэнь
тиаоxуан,тиаохсуан,тиаушеуан,тянь
тиаопи,тиаопи,тыаупыи,кун тянь
тиаожан,тиаочан,теауянн,тяо
тие,тиех,тие,тяо сюань
тингxиа,тингхсиа,тынгшиах,дяо пи
тинг,тинг,тиинг,тяо чжань
тонгжишу,тунгчихшу,тонгйышу,те
тонгкинг,тунгчинг,торнгчынг,тин ся
тонгхуа,тунгхуа,торнгхуах,тин
тонгниан,тунгниен,торнгниан,шу тун чжи
тонгйи,тунгчи,тоонгйих,цин тун
тонгыи,тунги,тоонги,хуа тун
тонгкуаи,тунгкуаи,тонккуаы,нянь тун
тоу,тоу,тоур,цзи тун
тоуру,тоую,тоуррух,тун и
тоусу,тоусу,тоурсух,куай тун
тоузи,тоутзу,тоуртзы,тоу
тоу,тоу,тоуо,жу тоу
тоуминг,тоуминг,тоуоминг,су тоу
ту’ан,туан,туоуанн,тоу цзы
тужонг,тучунг,туоуйонг,тоу
туди,тути,туудих,мин тоу
туичи,туичих,туеичыр,ань ту
туиxиао,туихсиао,туеишиау,ту чжун
туо,то,туо,ди ту
уоази,уоази,уоахзи,чи туй
уоаихуи,уоаихуи,уоаыхуеы,туй сяо
уоаийиаогуан,уоаичиаокуан,уоаыйиаугуан,то
уоаитао,уоаитао,уоаытауо,ва цзы
уоан,уоан,уан,хуэй (хой) вай
уоандиан,уоантиен,уооандеан,гуань цзяо вай
уоаныи,уоани,уоанни,тао вай
уоанг,уоанг,уоанг,вань
уоанглуо,уоангло,уооанглуох,дянь вань
уоангжи,уоангчих,уооангйыы,вань и
уоеиxиао,уоеихсиао,уеишиауо,ван
уоеиxин,уоеихсин,уеишинн,ло ван
уоеийин,уоеичин,уоеийин,ван чжи
уоеичи,уоеичих,уоеичыр,вэй сяо
уоеиху,уоеиху,уоеихух,вэй синь
уоеиxиу,уоеихсиу,уоеишиоу,цзинь вэй
уоеиба,уоеиба,уооеиба,чи вэй
уоеиби,уоеипи,уоеыбих,ху вэй
уоеилаи,уоеилаи,уоеылаи,вэй сю
уоеиыу,уоеиыу,уоеыыу,ба вэй
уоеир,уоеир,уоеыр,би вэй
уоеи,уоеи,уоеы,лай вэй
уоен,уоен,уооен,вэй юй
уоендинг,уоентинг,уооендинк,эр вэй
уоенхоу,уоенхоу,уоеннхоуо,вэй
уоу,уоу,уоу,вэнь
уоуфа,уоуфа,уоуфаа,дин вэнь
уоулиао,уоулиао,уоулиау,хоу вэнь
уоулун,уоулун,уоулуенн,у
уоушу,уоушу,уоушух,фа у
уоусуоуоеи,уоусоуоеи,уоусуооуоеы,ляо у
уоуxиан,уоухсиен,уоушианн,лунь у
уоуыанлиусе,уоуыанлиусе,уоууыанлиоуосех,шу у
уоухуи,уоухуи,уоуххуеы,со вэй у
xигуа,хсикуа,шигуа,у сянь
xи,хси,ши,лю сэ у янь
xигуан,хсикуан,шигоан,хуэй (хой) у
xишоу,хсишоу,шишоу,гуа си
xиыан,хсиыан,шииан,си
xиыин,хсиыин,шиыиин,гуань си
xиаи,хсиаи,шииаы,шоу си
xилие,хсилиех,шихлиех,си янь
xитонг,хситунг,шихтоонг,си инь
xи,хси,ших,ай си
xийие,хсичиех,шихйые,ле си
xижи,хсичих,шихйых,тун си
xиагеыуе,хсиакоыуех,шиахгехыуех,си
xиайианг,хсиачианг,шиахйианк,цзе си
xиалоу,хсиалоу,шиахлоу,си чжи
xиайи,хсиачи,шиахйих,гэ ся юэ
xиан,хсиен,шиан,цзян ся
xианхуа,хсиенхуа,шианхуа,лоу ся
xианминг,хсиенминг,шианминг,цзи ся
xиан,хсиен,шыан,сянь
xианжу,хсиенчу,шеанюх,хуа сянь
xиан,хсиен,шианн,мин сянь
xианжи,хсиенчих,шианнйых,сянь
xиангчу,хсиангчу,шиангчуу,сянь чжу
xиангфан,хсиангфан,шиангфаан,сянь
xианг,хсианг,шианг,сянь чжи
xиангзи,хсиангзи,шиангзи,чу сян
xиангниан,хсиангниен,шеангнианн,фань сян
xиангxианг,хсиангхсианг,шеангшианк,сян
xианг,хсианг,шианк,сян цзы
xиангму,хсиангму,шианкмух,нянь сян
xиангпиан,хсиангпиен,шианкпианн,сян сян
xиаохуа,хсиаохуа,шиаухуах,сян
xиаошоу,хсиаошоу,шиаушоуо,му сян
xиаочи,хсиаочих,шеаучы,пянь сян
xиаохуози,хсиаохуози,шеаухуоози,хуа сяо
xиаоxинг,хсиаохсинг,шеаушынг,шоу сяо
xие,хсиех,шие,чи сяо
xинли,хсинли,шинлии,хо сяо цзы
xинланг,хсинланг,шинланг,сяо син
xиннианг,хсиннианг,шиннианг,се
xинxиан,хсинхсиен,шиншиан,ли синь
xинxинг,хсинхсинг,шиншынг,лан синь
xингфен,хсингфен,шингфенн,нян синь
xингронг,хсингюнг,шынгронг,сянь синь
xингши,хсингших,шынгшых,синь син
xинг,хсинг,шынг,фэнь син
xингхао,хсингхао,шынгхауо,жун син
xинг,хсинг,шиинг,ши син
xингку,хсингчу,шинкчиух,син
xингжи,хсингчих,шинкйых,хао син
xионгди,хсиунгти,шионгдих,син
xионгбу,хсиунгпу,шионгбух,цюй син
xиули,хсиули,шиоулии,син чжи
xуанзе,хсуанце,шеуантзер,ди сюн
xуефен,хсуехфен,шыуефен,бу сюн
xуениан,хсуехниен,шыуениан,ли сю
xуеши,хсуехших,шыуешыр,сюань цзэ
xуешу,хсуехшу,шыуешух,фэнь сюэ
xунжао,хсунчао,шыуняо,нянь сюэ
xунсу,хсунсу,шиуннсух,ши сюэ
ыа,ыа,ыа,сюэ чжу
ыашуа,ыашуа,ыашуа,сюнь чжао
ыаыунхуи,ыаыунхуи,ыахыуннхуеы,су сюнь
ыа,ыа,ыа,я
ыанчанг,ыанчанг,ыанчарнг,шуа я
ыанки,ыанчи,ыанчи,хуэй (хой) я юнь
ыанxу,ыанхсу,ыаншиух,я
ыан,ыан,ыан,чан янь
ыанге,ыанко,ыангер,ци янь
ыанжонг,ыанчунг,ыанйонк,сюй янь
ыанйиу,ыанчиу,ыанйиоу,янь
ыанйиушенг,ыанчиушенг,ыанйиоушенг,гэ янь
ыанжи,ыанчих,ыанйых,янь чжун
ыан,ыан,ыан,цзю янь
ыанйинг,ыанчинг,ыеанйинк,цзю шэн янь
ыанлеи,ыанлеи,ыеанлеы,янь чжи
ыанйианг,ыанчианг,ыеанйеанг,янь
ыангтаи,ыангтаи,ыангтаир,цзин янь
ыангченг,ыангченг,ыеангчернг,лэй янь
ыао,ыао,иау,цзян янь
ыао,ыао,ыау,тай ян
ыаоуоу,ыаоуоу,ыауоуоух,чэн ян
ыао,ыао,ыауо,яо
ыеыу,ыехыу,ыехыу,яо
ыези,ыехзи,ыехзи,у яо
ыилиао,илиао,илиау,яо
ыиxуе,ихсуех,ишыуе,е юй
ыикао,икао,икауо,е цзы
ыиран,иян,иран,ляо и
ыи,и,ыи,сюэ и
ыидонг,итунг,ыидонк,као и
ыимин,имин,ыимин,жань и
ыичан,ичан,ыичаан,и
ыичуан,ичуан,ыичуоан,дун и
ыиуоен,иуоен,ыиуоенн,минь и
ыийи,ичи,ыиийыи,чань и
ыинеи,инеи,ыиинеы,чуань и
ыиуоу,иуоу,ыихуоух,вэнь и
ыилун,илун,ыихлуенн,цзи и
ыин,ыин,ыиин,нэй и
ыиндао,ыинтао,ыииндао,у и
ыинйин,ыинчин,ыиинйинн,лунь и
ыинки,ыинчи,ыиинчии,инь
ыинг,ыинг,инг,дао инь
ыингыонг,ыингыунг,ингыеонг,цзинь инь
ыингые,ыингыех,ынгыех,ци инь
ыингде,ыингте,ынгдер,ин
ыингзи,ыингзи,ыиингзи,ин юн
ыонгган,ыунгкан,ыеонггаан,е ин
ыонгки,ыунгчи,ыеонгчих,дэ ин
ыонгту,ыунгту,ыонктуоу,ин цзы
ыоулианг,ыулианг,иоулианг,гань юн
ыоумеи,ыумеи,иоумееи,ци юн
ыоуxиу,ыухсиу,иоушиоуо,ту юн
ыоую,ыучу,ыоуйыу,лян ю
ыоуку,ыучу,ыеоучиух,мэй ю
ыоуxиан,ыухсиен,ыеоушианн,сю ю
ыоу’ерыуан,ыуерхыуан,ыоуоерлыуан,цзюй ю
ыуши,ыуших,ыушых,цюй ю
ыуфа,ыуфа,ыеуфаа,сянь ю
ыуыин,ыуыин,ыеуин,эр ю юань
ыу,ыу,ыух,ши юй
ыуми,ыуми,ыухмии,фа юй
ыуце,ыуце,ыухцех,инь юй
ыудинг,ыутинг,ыухдинк,юй
ыу,ыу,ыух,ми юй
ыудао,ыутао,ыухдауо,цэ юй
ыуйиан,ыучиен,ыухйианн,дин юй
ыуанлиао,ыуанлиао,ыуанлиауо,юй
ыуанзе,ыуанце,ыуантзер,дао юй
ыуан,ыуан,ыуан,цзянь юй
ыуанман,ыуанман,ыуанмаан,ляо юань
ыуехуи,ыуеххуи,иуехуеы,юань цзэ
ыуеди,ыуехти,ыуехдии,юань
ыуеду,ыуехту,ыуехдуоу,мань юань
ыундонгхуи,ыунтунгхуи,ыунндонкхуеы,хуэй (хой) юэ
ыундонгыуан,ыунтунгыуан,ыунндонкыуан,ди юэ
ыунки,ыунки,ыуннки,ду юэ
ыуныонг,ыуныунг,ыунныонк,дун хуэй (хой) юнь
заисан,цаисан,тзаысан,дун юань юнь
заиху,цаиху,тзаыху,ци юнь
заиыу,цаиыу,тзаыыу,юн юнь
занченг,цанченг,тзаннчернг,сань цзай
заншанг,цаншанг,тзанншаанг,ху цзай
занжу,цанчу,тзаннюх,юй цзай
заоxинг,цаохсинг,тзауошынг,чэн цзань
жандоу,чантоу,янндоуо,шан цзань
жаншенг,чаншенг,янншенк,цзань чжу
жанши,чанших,янншых,син цзао
жанженг,чанченг,яннйенг,доу чжань
жангфу,чангфу,янкфу,шэн чжань
жаоху,чаоху,яуху,ши чжань
жаохуо,чаохуо,яурхуоо,чжань чжэн
жаойи,чаочи,яурйыи,фу чжан
жаокаи,чаокаи,яуокаи,ху чжао
жен,чен,йен,хо чжао
жендуи,чентуи,йендуеы,цзи чжао
жен,чен,йенн,кай чжао
женглун,ченглун,йенглуенн,чжэнь
женгфу,ченгфу,йенгфуоу,дуй чжэнь
женгкиу,ченгчиу,йенгчыоу,чжэнь
женгфу,ченгфу,йенкфуу,лунь чжэн
женгжи,ченгчих,йенкйых,фу чжэн
жихоу,чиххоу,йыхоуо,цю чжэн
жийиан,чихчиен,йыйиан,фу чжэн
жикиан,чихчиен,йычыан,чжэн чжи
жиыи,чихи,йыи,хоу чжи
жи,чих,йы,цзянь чжи
жиуоу,чихуоу,йыруоух,цянь чжи
жихуи,чиххуи,йыыхуеи,и чжи
жидинг,чихтинг,йыхдинк,чжи
жилианг,чихлианг,йыхлианк,у чжи
жи,чих,йых,хуэй (хой) чжи
жилиао,чихлиао,йыхлиау,дин чжи
жили,чихли,йыхлих,лян чжи
жиненг,чихненг,йыхненг,чжи
жонгйие,чунгчиех,йонгйиех,ляо чжи
жонглеи,чунглеи,йоонглеы,ли чжи
жонгйианг,чунгчианг,йонкйеанг,нэн чжи
жонг,чунг,йоонг,цзе чжун
жонгжи,чунгчих,йонкйыр,лэй чжун
жонглианг,чунглианг,йонклианк,цзян чжун
жубу,чупу,йуоубух,чжун
жуйиан,чучиен,йуоуйианн,чжи чжун
жути,чути,юутыи,лян чжун
жуxи,чухси,юушыи,бу чжу
жуфу,чуфу,юхфуоу,цзянь чжу
жуминг,чуминг,юхминг,ти чжу
жузуо,чуцо,юхтзуох,си чжу
жуайин,чуачин,юайиин,фу чжу
жуанxин,чуанхсин,юаншин,мин чжу
жуандонг,чуантунг,йоандонк,цзо чжу
жуангао,чуанкао,йоангауо,цзинь чжуа
жуаншен,чуаншен,йоаншен,синь чжуань
жуануоан,чуануоан,йоануан,дун чжуань
жуаныи,чуани,йоаныи,гао чжуань
жуангxиу,чуангхсиу,юангшиоу,шэнь чжуань
жуангжи,чуангчих,юангйых,вань чжуань
жуикиу,чуичиу,юеичыоу,и чжуань
жунши,чунших,йоеншыр,сю чжуан
зилиао,тзулиао,тзылиауо,чжи чжуан
зиыуан,тзуыуан,тзыыуан,цю чжуй
зи,тзу,тзых,ши чжунь
зиxин,тзухсин,тзыхшинн,ляо цзы
зиму,тзуму,тзыхмуу,юань цзы
зонгхе,цунгхо,тзонгхер,цзы
зонггонг,цунгкунг,тзоонггонк,синь цзы
зонгли,цунгли,тзоонглии,му цзы
зонгтонг,цунгтунг,тзоонгтоонг,хэ цзун
зонгжи,цунгчих,тзоонгйы,гун цзун
зужи,цучих,тзууйыы,ли цзун
зуиба,цуиба,тзоеиба,тун цзун
зуичу,цуичу,тзуеычу,цзун чжи
зуочу,цочу,тзуохчу,цзу чжи
зуоуоеи,цоуоеи,тзуохуоеи,ба цзуй
ануоеи,ануоеи,ануоеы,чу цзуй
ан,ан,анн,чу цзо
аншанг,аншанг,анншанк,вэй цзо
анмо,анмо,аннмо,ань вэй
ба,па,бар,ань
баийиу,паичиу,баирйеоу,ань шан
баифанг,паифанг,баыфаанг,ань мо
бан,пан,баан,ба
баныан,паныан,банныеан,бай цзю
банг,панг,банк,бай фан
баоуоеи,паоуоеи,баууоеи,бань
баожуанг,паочуанг,бауюанг,бань янь
баоуоеи,паоуоеи,баоуоеы,бан
баоыанг,паоыанг,баоыеанг,бао вэй
баода,паота,бауодар,бао чжуан
баойинг,паочинг,бауойиинг,бао вэй
баоыуан,паоыуан,бауоыуанн,бао ян
беибао,пеипао,беибау,бао да
беию,пеичу,беийиух,бао цзин
беишанг,пеишанг,беишанг,бао юань
беийи,пеичи,бееийыи,бао бэй
беидонг,пеитунг,беыдонк,бэй цзюй
беи,пеи,беы,бэй шан
бенрен,пенйен,беенрен,бэй цзи
бизи,пизи,быизи,бэй дун
бижонг,пичунг,биийонк,бэй
бици,питзу,биицыы,бэнь жэнь
би,пи,бих,би цзы
биxу,пихсу,бихшиу,би чжун
бийинг,пичинг,бихйинк,би цы
биму,пиму,бихмух,би
бимуши,пимуших,бихмухшых,би сюй
бианйинг,пиенчинг,бианйинк,би цзин
бианйи,пиенчи,бианйыи,би му
биандонг,пиентунг,бианндонк,би му ши
бианли,пиенли,бианнлих,бянь цзин
биантиао,пиентиао,бианнтыау,бянь цзи
бианыу,пиеныу,бианныу,бянь дун
бингуан,пинкуан,бингоан,бянь ли
бинг,пинг,биинг,бянь тяо
бингган,пингкан,биингган,бянь юй
бингду,пингту,бинкдуоу,бинь гуань
боли,поли,боли,бин
боке,поко,боркех,бин гань
боланхуи,поланхуи,борлаанхуеы,бин ду
боши,поших,боршых,бо ли
боуоугуан,поуоукуан,боруоухгоан,бо кэ
боруо,пойо,борруох,бо хуэй (хой) лань
бучанг,пучанг,буучарнг,бо ши
бутие,путиех,буутие,бо гуань у
буценг,пуценг,бухцернг,бо жо
буганданг,пукантанг,бухгаанданг,бу чан
булианг,пулианг,бухлианг,бу те
бумиан,пумиен,бухмеан,бу цэн
буненгбу,пуненгпу,бухненгбух,бу дан гань
буши,пуших,бухшыр,бу лян
бутинг,путинг,бухтынг,бу мянь
